domain,current_source,current_table_or_file,current_key_or_field,dynamic_or_static,used_by,permission,scope,target_location,change_required,risk,status,notes
settings,server route,src/app/admin/settings/page.js,settings.view,DYNAMIC,settings page and all tab queries,settings.view,permission_only,/admin/settings,yes,HIGH,CONFLICT,Broad guard currently loads membership data
settings,tab config,src/components/admin/settings/helpers/settingsOptions.js,SETTINGS_TABS,STATIC,AdminSettingsEditor,settings.view,permission_only,/admin/settings,yes,LOW,STATIC,Club contacts membership pages
club_data,database,club_settings,club fields and JSON colors/social,DYNAMIC,website footer and settings,settings.view/settings.edit,permission_only,/admin/settings,no,LOW,EXISTING,Keep storage and save logic
contacts,database,club_contacts,category role_key role_de,DYNAMIC,settings and public contacts,settings.view/settings.edit,permission_only,/admin/settings,no,MEDIUM,EXISTING,Compact UI later
pages,database,pages,slug title_de content_de,DYNAMIC,settings and static pages,settings.view/settings.edit,permission_only,/admin/settings,no,MEDIUM,EXISTING,Keep existing CMS logic
membership_requests,database,membership_requests,status forwarding fields,DYNAMIC,settings membership tab and dashboard count,membership_requests.view/edit/forward,B15.5A role plus youth policy,/admin/membership-requests,yes,HIGH,CONFLICT,Page query currently guarded only by settings.view
membership_recipients,database,membership_request_recipients,request_type email is_active,DYNAMIC,settings membership tab,membership_requests.edit,currently settings page guard,/admin/membership-requests,yes,HIGH,CONFLICT,Must share server policy with module
membership_dashboard,policy,src/components/admin/dashboard/dashboard.core.js,canViewMembershipRequestsOnDashboard,STATIC,dashboard query plan,membership_requests.view,global board or youth_all,/admin/membership-requests,yes,HIGH,EXISTING,Kassierer explicitly excluded despite broad seed keys
settings_navigation,config,src/components/admin/navigation/adminNavigation.config.js,settings,STATIC,admin navigation,settings.view,permission_only,/admin/settings,yes,MEDIUM,EXISTING,Keep but later narrow assignments
membership_navigation,config,src/components/admin/navigation/adminNavigation.config.js,membership-requests,STATIC,admin navigation,none,permission_only,/admin/membership-requests,yes,LOW,DEFERRED,Planned item has no route or permission yet
department_guard,route and nav,src/app/admin/department/page.js,settings.view,STATIC,department and board routes,settings.view,board_access,/admin/department,yes,HIGH,CONFLICT,Must decouple before narrowing settings.view
webmaster_role,documented seed,docs/sql/admin-auth-seed.sql,webmaster,DYNAMIC,admin auth,assigned permission keys,read_only plus own_profile,/admin/settings,no,MEDIUM,EXISTING,Live existence requires preflight confirmation
settings_permission,documented seed,docs/sql/admin-auth-seed.sql,settings.view/settings.edit,DYNAMIC,settings department dashboard,settings.view/settings.edit,permission_only,/admin/settings,yes,HIGH,EXISTING,Seed grants view to superadmin vorstand kassierer webmaster
team_identity,database,teams,name_de slug department_id,DYNAMIC,team routes public site scopes,teams.*,team_access,/admin/teams,no,HIGH,EXISTING,Concrete team identity
team_season,database,team_seasons,name_de slug age_group season_id,DYNAMIC,team detail assignments events,teams.*,team_access,/admin/teams,no,HIGH,EXISTING,Seasonal canonical snapshot
team_template,database,team_templates,name_de slug age_group is_active sort_order,DYNAMIC,new team form,teams.create,team_access,/admin/settings masterdata,yes,MEDIUM,DYNAMIC,Already appropriate masterdata base
team_number,none,repository search,no field,MISSING,new team form,teams.create,team_access,/admin/settings masterdata,yes,MEDIUM,MISSING,D2 is not composed from a number field
team_template_select,server query,src/app/admin/teams/new/page.js,active team_templates,DYNAMIC,new team form,teams.create,team_access,/admin/settings masterdata,no,MEDIUM,EXISTING,Youth scope filters available templates
news_category,frontend array,src/components/admin/news/forms/NewsCategoryFields.js,NEWS_CATEGORIES,STATIC,news create/edit filter labels,news.*,permission_only,/admin/settings masterdata,yes,HIGH,STATIC,Includes testessen and has fallback allgemein
news_category_storage,database,news,category/category_key,DYNAMIC,admin and public news,news.*,permission_only,news_categories,yes,HIGH,CONFLICT,Free text columns without category FK
event_type,frontend array,src/components/admin/events/forms/eventEditor.constants.js,EVENT_TYPES,STATIC,event editor filters public calendar,events.*,permission_only,/admin/settings masterdata,yes,HIGH,STATIC,Backed by events check constraint
event_type_storage,database,events,event_type,DYNAMIC,admin public calendar and recurrence,events.*,permission_only,event_categories,yes,HIGH,EXISTING,Values require live inventory
virtual_training,generated model,src/lib/events/virtualTraining.js,event_type=training/source_type=team_training,STATIC,admin and public merged calendars,events.view,team_access,event system type,no,CRITICAL,EXISTING,training key must remain protected
download_model,repository and schema search,no general downloads table,none,MISSING,future module,none,none,future downloads module,yes,LOW,MISSING,Only news_documents and event_documents exist
download_category,none,no table,none,MISSING,future downloads,none,none,/admin/settings masterdata,yes,LOW,DEFERRED,Plan category table only
news_documents,database,news_documents,news_id file metadata,DYNAMIC,news detail and public news,news.*,permission_only,news module,no,MEDIUM,EXISTING,Not a general download model
event_documents,database,event_documents,event_id file metadata,DYNAMIC,event detail and public events,events.*,permission_only,event module,no,MEDIUM,EXISTING,Not a general download model
