feature,old_behavior,new_behavior,route_or_component,permission,desktop,mobile,test_status,status,notes
overview_columns,"Viele Fachspalten inklusive Typ, Titel, Erlass, letzte Zahlung und Aktionen","Kompakte Liste mit Spieler, Status, Offen, Faelligkeit, Saison, Mannschaft und Details","/admin/contributions; ContributionsTable.js","contributions.view","DONE","DONE","COVERED","DONE","Actions wurden aus der Uebersicht entfernt"
overview_navigation,"Detailzugang ueber separate Aktionsflaechen","Ganze Desktop-Zeile und ganze Mobile-Karte verlinkt zur Detailseite","ContributionsTable.js; ContributionCard.js","contributions.view","DONE","DONE","COVERED","DONE","Hover- und Fokuszustand direkt auf Link"
overview_actions,"Mutationsaktionen direkt in Tabelle und Karten","Keine Mutationsaktionen mehr in der Uebersicht","ContributionActionsMenu.js; /admin/contributions","permission-driven","DONE","DONE","COVERED","DONE","Server-Actions bleiben unveraendert auf Detailseite nutzbar"
status_quick_filters,"Grosse Kennzahlen-Kacheln mit Beschreibungstext","Kompakte klickbare Schnellfilter mit aktivem Zustand","ContributionStats.js","contributions.view","DONE","DONE","COVERED","DONE","URL-Search-Params bleiben Quelle"
money_summary,"Grosse Summenkacheln mit langen Erklaertexten","Vier kompakte Summenkarten","ContributionStats.js","contributions.view","DONE","DONE","COVERED","DONE","Status und Geldsummen sind getrennt"
filter_disclosure,"Filter standardmaessig offen, Zusatztexte im Kopf","Filter standardmaessig geschlossen, nur Badge bei aktiven Filtern","ContributionFilters.js","contributions.view","DONE","DONE","COVERED","DONE","Keine Eintragszahl und kein Leertext mehr"
detail_workspace,"Detailseite funktional aber ohne klare Aktionsordnung","Klarer Arbeitsbereich mit Header, Betraegen, Infos, Zahlungen, Sonderstatus und Aktionen","/admin/contributions/[id]; ContributionDetailClient.js","contributions.view","DONE","DONE","PARTIAL","DONE","Visuell umgebaut ohne neue Fachlogik"
detail_actions,"Aktionen uneinheitlich im Header verteilt","Primaer-, Sekundaer- und Gefahr-Bloecke auf der Detailseite","ContributionDetailActions.js","permission-driven","DONE","DONE","COVERED","DONE","Vorstand bleibt read-only"
payment_history,"Zahlungen als einfache Textkarten","Zahlungshistorie mit klaren Feldern und direktem Stornoeintrag","ContributionPaymentsList.js","contributions.view; contributions.cancel_payment","DONE","DONE","PARTIAL","DONE","Stornierungsdetails bleiben sichtbar"
manual_admin_session,"Manueller Test mit echter Session erforderlich","In Terminal nur Redirect auf Login pruefbar","/admin/contributions; /admin/contributions/[id]","admin session required","BLOCKED","BLOCKED","BLOCKED","BLOCKED","Muss im Browser mit Session nachgezogen werden"
