phase,module,file_path,legacy_field,current_usage,target_usage,change_type,risk,dependencies,tests,rollback,status,notes
"7","G Suche und Filter","src/app/admin/teams/new/page.js","players.team_id","line 72: available players are filtered with team_id.is.null and team_id.in(...)","build selectable players from active player_team_seasons plus current team_season context","SEARCH","CRITICAL","phase 1 read-model; phase 2 player write-model; current season resolver","team create shows unassigned players; already assigned players stay hidden except explicit reuse rule","restore legacy availability filter if seasonal selector returns wrong candidates","REQUIRES_DECISION","No-team semantics and cross-season reuse rules must be fixed before switching this selector."
"7","G Suche und Filter","src/app/admin/teams/edit/[id]/page.js","players.team_id","line 67: available players are loaded with team_id.is.null or team_id.eq(teamId)","resolve editable player pool from player_team_seasons for the active team_season","SEARCH","CRITICAL","phase 1 read-model; phase 2 player write-model; team-season identity","team edit keeps already assigned players visible and prevents foreign-team leakage","fall back to current team_id selector until seasonal edit list is stable","REQUIRES_DECISION","The edit page needs a clear rule for active assignment versus historical assignment."
"4","B Lesepfade","src/app/admin/players/page.js","players.team_id","line 37: admin player list selects and forwards team_id in its runtime DTO","emit team identity from active player_team_seasons and current team_season DTO","READ_PATH","CRITICAL","phase 1 read-model; phase 4 admin list consumers","admin player list, filter chips and downstream cards show correct team after read-model switch","re-enable legacy select if list DTOs lose team metadata","PLANNED","This is a list consumer and should read from the shared seasonal player DTO, not from players.team_id."
"9","I Generische Helper und Fallbacks","src/components/admin/utils/entity.js","players.team_id","line 13: entity badge helper falls back to entity.team_id when relation data is missing","consume shared player season DTO and remove raw team_id fallback","HELPER","HIGH","phase 1 read-model; phase 9 helper cleanup","admin badges still show current team for player cards without exposing raw legacy fields","restore helper fallback temporarily if DTO rollout is incomplete","PLANNED","This helper fans out to multiple admin surfaces, so it should only switch after a central DTO exists."
"2","D Formulare und Validierung","src/components/admin/players/forms/playerForm.helpers.js","players.team_id","line 7: player form state and submit payload still carry team_id","form state stores team_season_id or assignment payload for player_team_seasons","FORM","CRITICAL","phase 1 read-model; phase 2 player write-model","player create/edit, team switch and teamless save work without writing players.team_id","roll back to legacy payload shape if player save fails during phased rollout","PLANNED","The helper is part of the write path even though the actual persistence happens in the service."
"2","D Formulare und Validierung","src/components/admin/players/forms/playerForm.config.js","players.team_id","line 25: validation still treats team_id as required legacy field","validate seasonal assignment intent instead of legacy team_id","VALIDATION","LOW","phase 2 player form redesign","player form accepts teamless players and requires assignment data only when a current team is chosen","restore legacy required rule if the new UI cannot express assignment intent correctly","READY_FOR_IMPLEMENTATION","This is a low-risk config change after the target payload contract is decided."
"6","C Scope- und Permission-Pfade","src/app/admin/players/actions.js","players.team_id","line 20: server action derives allowed target teams directly from payload.team_id","derive scope target from chosen team_season or resolved player assignment","SCOPE","CRITICAL","phase 1 read-model; phase 2 player write-model; admin scope resolver","scoped admins can save allowed players and cannot write outside their team scope","restore legacy scope derivation if seasonal target mapping is inconsistent","PLANNED","Scope logic must not relax permissions while the payload contract changes."
"2","A Schreibpfade","src/components/admin/players/services/players.service.js","players.team_id","line 36: insert and update payloads still write team_id into players","persist current assignment into player_team_seasons and keep players as master data only","WRITE_PATH","CRITICAL","phase 1 read-model; player_team_seasons write contract; transaction ordering","player create/edit writes master data and active seasonal assignment consistently","re-enable legacy write and replay failed assignment writes if transactional flow is unstable","PLANNED","This is the main player write cutover and should be treated as the player-side no-go gate."
"4","G Suche und Filter","src/components/admin/players/list/playerList.helpers.js","players.team_id","line 47: team filter options and active filtering use player.team_id","build filters from shared seasonal player DTO with team/team_season metadata","SEARCH","HIGH","phase 1 read-model; phase 4 admin list update","team filter options, sorting and empty states stay correct for scoped admins","restore legacy filter mapping if list DTO adoption regresses","PLANNED","Filtering should consume the same normalized read-model as the list page."
"2","D Formulare und Validierung","src/components/admin/players/forms/fields/PlayerBasicFields.js","players.team_id","line 28: player basic form exposes a direct team_id select","replace with team_season selection or dedicated assignment editor","FORM","CRITICAL","phase 2 player form redesign; team-season option source","player create/edit can assign, switch or clear a team without raw team_id input","temporarily restore legacy select if the new assignment UI blocks editor usage","PLANNED","The replacement UI must preserve the ability to create teamless players."
