"feature","old_behavior","new_behavior","component","permission","desktop","tablet","mobile","test_status","status","notes"
"detail container","regular content width with tighter detail layout","local max-w-screen-2xl container for detail route","src/app/admin/contributions/[id]/page.js","contributions.view","DONE","DONE","DONE","NOT_COVERED","DONE","Global admin shell unchanged"
"detail header","back link outside client, status below title, actions less reference-like","back link, player name, inline full status badge, meta line and right-side actions in one header panel","src/components/admin/contributions/components/ContributionDetailHeader.js","contributions.view plus existing mutation permissions","DONE","DONE","DONE","NOT_COVERED","DONE","Uses existing edit and payment permissions"
"money bar","compact cards but less unified strip layout","shared segmented amount bar with responsive grid and highlighted outstanding amount","src/components/admin/contributions/components/ContributionMoneyBar.js","contributions.view","DONE","DONE","DONE","existing helper coverage","DONE","Shared with overview"
"info panel","field cards in 2-column grid","single definition-list style panel with row separators and wrapping values","src/components/admin/contributions/components/ContributionDetailInfoPanel.js","contributions.view and contributions.edit for internal note","DONE","DONE","DONE","helper coverage updated","DONE","Missing values stay as -"
"header meta","type, season and team with pipe separators","title, season and team with middle-dot separators","src/components/admin/contributions/helpers/contributionDetailView.js","contributions.view","DONE","DONE","DONE","updated","DONE","Matches reference wording"
"payment methods","raw technical values shown","friendly labels for transfer, cash, card and direct_debit","src/components/admin/contributions/helpers/contributionFormatters.js","contributions.view","DONE","DONE","DONE","added","DONE","Falls back to raw value if unknown"
"payment history desktop","5 columns, reference nested under method, contribution badge reused for payment state","6 explicit columns with separate reference, payment-specific status badge and compact row action","src/components/admin/contributions/components/ContributionPaymentsList.js","contributions.view and contributions.cancel_payment","DONE","PARTIAL","N/A","not component-tested","DONE","Desktop table shown from xl upward"
"payment history mobile","cards already existed but mirrored old field wording","cards retained, method formatting improved, status and storno action aligned with new layout","src/components/admin/contributions/components/ContributionPaymentsList.js","contributions.view and contributions.cancel_payment","N/A","DONE","DONE","not component-tested","DONE","No horizontal inner scrolling"
"actions and status","special status and actions split across different panels","single combined panel with defer, exempt and danger sections; canceled state collapses to status-only block","src/components/admin/contributions/components/ContributionDetailActions.js","existing defer, exempt and cancel permissions","DONE","DONE","DONE","not component-tested","DONE","Read-only users do not get empty action panel"
"special status data","exempt and canceled details were shorter","exempt includes waived amount, canceled includes immutable warning","src/components/admin/contributions/helpers/contributionDetailView.js","contributions.view","DONE","DONE","DONE","updated","DONE","Retained through combined status panel logic"
"global admin shell","unchanged before redesign","still unchanged","AdminShell and related layout components","N/A","DONE","DONE","DONE","manual diff","DONE","No global layout edits in this task"
