entity,legacy_field,file_path,usage,action,remaining_reason,replacement,risk,status,notes
players,players.photo_url,src/components/website/team/TeamPlayerCard.js,component_display,REMOVED,,resolvePlayerImageUrl -> players.image_url first,LOW,DONE,Direkter UI-Fallback entfernt
players,players.photo_url,src/components/website/player-profile/PlayerProfileImageCard.js,component_display,REMOVED,,resolvePlayerImageUrl -> players.image_url first,LOW,DONE,Direkter UI-Fallback entfernt
players,players.photo_url,src/components/admin/players/components/PlayerCard.js,admin_card_display,REMOVED,,getEntityImage with canonical field priority,LOW,DONE,Komponente priorisiert photo_url nicht mehr direkt
players,players.photo_url,src/lib/people/imageUrl.js,public_image_resolver,CENTRALIZED,Bestandsdaten mit nur photo_url muessen weiter sichtbar bleiben,players.image_url,LOW,DONE,Zentraler temporarer Fallback fuer Public Player Images
players,players.photo_url,src/components/admin/utils/entity.js,admin_generic_image_resolver,CENTRALIZED,Admin-Karten brauchen weiterhin einen zentralen Safe Fallback,imageUrl or image_url,MEDIUM,PARTIAL,Zentrale Admin-Fallback-Stelle bleibt bestehen
players,players.photo_url,src/components/admin/players/forms/playerForm.helpers.js,form_init_fallback,KEPT_TEMPORARY,Admin-Form darf bestehende Legacy-Bilder nicht verlieren,players.image_url,LOW,PARTIAL,Ausserhalb des reinen Anzeige-Quick-Wins
players,players.photo_url,src/app/admin/players/page.js,query_select,KEPT_TEMPORARY,Admin-Liste liefert weiterhin Daten fuer zentrale Fallbacks,players.image_url,LOW,PARTIAL,Query noch dual-read
players,players.photo_url,src/components/admin/players/services/players.service.js,previous_file_pointer,KEPT_TEMPORARY,Upload-Replace-Pfad benoetigt weiterhin vorherige URL,players.image_url,LOW,NOT_READY,Write-naher Pfad bewusst unveraendert
players,players.photo_url,src/components/admin/players/services/playerWrite.service.js,master_record_load,KEPT_TEMPORARY,Rollback-Snapshot liegt ausserhalb dieses Schritts,players.image_url,MEDIUM,NOT_READY,Kein Umbau von Rollback-Pfaden
coaches,coaches.photo_url,src/components/website/coach-profile/CoachProfileImageCard.js,component_display,REMOVED,,resolveCoachImageUrl -> coaches.image_url first,LOW,DONE,Direkter UI-Fallback entfernt
coaches,coaches.photo_url,src/components/website/team/TeamCoachCard.js,component_display,REMOVED,,resolveCoachImageUrl -> coaches.image_url first,LOW,DONE,Direkter UI-Fallback entfernt
coaches,coaches.photo_url,src/components/website/department/DepartmentPersonCard.js,generic_component_display,CENTRALIZED,Generische Department-Karte muss Bestandsdaten weiter anzeigen,resolveCoachImageUrl,MEDIUM,DONE,Legacy-Fallback aus der Komponente herausgezogen
coaches,coaches.photo_url,src/lib/people/imageUrl.js,public_image_resolver,CENTRALIZED,Bestandsdaten mit nur photo_url muessen weiter sichtbar bleiben,coaches.image_url,LOW,DONE,Zentraler temporaerer Fallback fuer Public Coach Images
coaches,coaches.photo_url,src/components/admin/utils/entity.js,admin_generic_image_resolver,CENTRALIZED,Admin-Karten brauchen weiterhin einen zentralen Safe Fallback,imageUrl or image_url,MEDIUM,PARTIAL,Zentrale Admin-Fallback-Stelle bleibt bestehen
coaches,coaches.photo_url,src/components/website/coach/coachPublic.repository.js,query_select,KEPT_TEMPORARY,Public DTOs brauchen noch eine Legacy-Quelle fuer zentrale Resolver,coaches.image_url,MEDIUM,PARTIAL,Query noch dual-read
coaches,coaches.photo_url,src/app/admin/coaches/page.js,query_select,KEPT_TEMPORARY,Admin-Liste liefert weiterhin Daten fuer DTO/Card-Fallbacks,coaches.image_url,LOW,PARTIAL,Query noch dual-read
coaches,coaches.photo_url,src/components/admin/persons/coachReadDto.js,dto_image_fallback,CENTRALIZED,Legacy-only Coach-Bilder muessen im DTO weiter sichtbar bleiben,coaches.image_url,LOW,DONE,Zentrale DTO-Fallback-Stelle
coaches,coaches.photo_url,src/components/admin/coaches/forms/coachForm.core.mjs,form_image_fallback,KEPT_TEMPORARY,Admin-Form darf bestehende Legacy-Bilder nicht verlieren,coaches.image_url,MEDIUM,NOT_READY,Ausserhalb des reinen Anzeige-Quick-Wins
coaches,coaches.photo_url,src/components/admin/coaches/services/coaches.service.js,previous_file_pointer,KEPT_TEMPORARY,Upload-Replace-Pfad benoetigt weiterhin vorherige URL,coaches.image_url,LOW,NOT_READY,Write-naher Pfad bewusst unveraendert
coaches,coaches.photo_url,src/components/admin/coaches/services/coachSeasonalWriteCore.mjs,write_path_image_fallback,KEPT_TEMPORARY,Write-/Rollback-Helfer ist nicht Teil dieses Schritts,coaches.image_url,LOW,NOT_READY,Kein Umbau von Write-Pfaden
coaches,coaches.photo_url,src/components/admin/coaches/services/coachWrite.repository.js,master_record_load,BLOCKED,Foto-Legacy sitzt dort zusammen mit strukturellen Legacy-Feldern,seasonal assignments plus image_url,HIGH,BLOCKED,Nur gemeinsam mit coach team and role cleanup entfernbar
coaches,coaches.photo_url,src/components/admin/teams/teamEditCoach.repository.js,query_select,KEPT_TEMPORARY,Team-Edit liefert weiterhin Daten fuer DTO/Card-Fallbacks,coaches.image_url,LOW,NOT_READY,Noch kein isolierter Safe Remove
teams,teams.season,src/app/admin/teams/page.js,display_fallback_merge,REMOVED,,seasons.name,LOW,DONE,Merge nutzt keine teams.season-Legacyquelle mehr
teams,teams.season,src/app/(website)/fussball/[slug]/page.js,display_fallback_merge,REMOVED,,seasons.name,LOW,DONE,Merge nutzt keine teams.season-Legacyquelle mehr
teams,teams.season,src/components/website/team/TeamTrainingInfo.js,component_display,REMOVED,,resolveSeasonDisplayName from seasonal fields,LOW,DONE,Direkter Anzeige-Fallback entfernt
teams,teams.season,src/components/website/team/TeamIntroCard.js,component_display,REMOVED,,resolveSeasonDisplayName from seasonal fields,LOW,DONE,Direkter Anzeige-Fallback entfernt
teams,teams.season,src/components/website/team/TeamHero.js,component_display,REMOVED,,resolveSeasonDisplayName from seasonal fields,LOW,DONE,Direkter Anzeige-Fallback entfernt
teams,teams.season,src/components/admin/teams/components/TeamCard.js,component_display,REMOVED,,resolveSeasonDisplayName from seasonal fields,LOW,DONE,Direkter Anzeige-Fallback entfernt
teams,teams.season,src/components/admin/teams/AdminTeamsList.js,search_index,REMOVED,,team.public_season_name,LOW,DONE,Suche indexiert jetzt saisonalen Anzeigenamen
teams,teams.season,src/components/admin/teams/forms/helpers/teamFormInitialState.js,form_fallback,KEPT_TEMPORARY,Admin-Form benoetigt weiterhin Fallback ohne geladenes team_season,selectedSeason.name or team_seasons only,MEDIUM,PARTIAL,Nicht als reiner Anzeige-Quick-Win behandelt
